Word,Frequency
cdnpoli,3607
elxn43,2050
immigration,1677
canada,950
refugees,937
border,571
scheer,545
canadians,493
immigrants,483
trudeau,472
dont,450
firstdebate,374
stop,319
andrew,314
many,312
people,310
hate,295
party,294
policies,278
canadian,274
lying,270
line,269
us,261
trudeaus,255
spreading,250
toronto,248
jump,245
climate,244
dear,243
pls,240
racist,240
white,240
davenport,238
refugee,234
antiimmigrant,228
de,225
policy,220
cdnimm,218
new,216
like,210
election,205
candidate,195
alarm,186
illegal,181
election2019,179
conservative,179
vote,176
country,173
sun,171
la,170
